Age,Spectacle Prescription,Astigmatism,Tear Production Rate,Recommended Lenses
Prepresbyopic,Myope,No,Normal,Yes
Prepresbyopic,Hypermetrope,No,Normal,No
Presbyopic,Hypermetrope,No,Reduced,No
Young,Hypermetrope,Yes,Normal,No
Prepresbyopic,Hypermetrope,No,Normal,No
Presbyopic,Hypermetrope,No,Reduced,No
Young,Hypermetrope,No,Normal,No
Presbyopic,Hypermetrope,No,Reduced,No
Young,Hypermetrope,No,Normal,No
Young,Myope,No,Normal,Yes
Prepresbyopic,Myope,No,Normal,Yes
Prepresbyopic,Myope,Yes,Normal,Yes
Prepresbyopic,Hypermetrope,Yes,Reduced,Yes
Presbyopic,Hypermetrope,Yes,Normal,No
Presbyopic,Hypermetrope,No,Reduced,No
Prepresbyopic,Myope,No,Normal,Yes
Presbyopic,Hypermetrope,No,Reduced,No
Young,Myope,No,Normal,Yes
Prepresbyopic,Myope,Yes,Normal,Yes
Presbyopic,Myope,Yes,Normal,No
Presbyopic,Myope,Yes,Normal,No
Presbyopic,Hypermetrope,Yes,Normal,No
Presbyopic,Myope,Yes,Normal,No
Prepresbyopic,Hypermetrope,Yes,Reduced,Yes
Prepresbyopic,Myope,No,Normal,Yes
Prepresbyopic,Myope,No,Reduced,No
Presbyopic,Myope,Yes,Normal,No
Prepresbyopic,Myope,No,Reduced,No
Young,Hypermetrope,No,Normal,No
Prepresbyopic,Myope,No,Normal,Yes
Presbyopic,Myope,Yes,Normal,No
Young,Myope,Yes,Normal,No
Young,Hypermetrope,No,Normal,No
Young,Myope,No,Normal,Yes
Prepresbyopic,Myope,No,Normal,Yes
Prepresbyopic,Myope,Yes,Normal,Yes
Prepresbyopic,Myope,Yes,Normal,Yes
Young,Myope,No,Normal,Yes
Young,Myope,No,Reduced,No
Presbyopic,Myope,No,Normal,No
Young,Myope,No,Normal,Yes
Prepresbyopic,Myope,No,Normal,Yes
Prepresbyopic,Myope,No,Normal,Yes
Presbyopic,Hypermetrope,No,Reduced,No
Prepresbyopic,Myope,No,Normal,Yes
Prepresbyopic,Myope,Yes,Normal,Yes
Presbyopic,Myope,Yes,Normal,No
Prepresbyopic,Myope,No,Normal,Yes
Prepresbyopic,Myope,Yes,Normal,Yes
Prepresbyopic,Myope,Yes,Normal,Yes
Presbyopic,Hypermetrope,Yes,Reduced,No
Prepresbyopic,Myope,Yes,Normal,Yes
Prepresbyopic,Myope,No,Normal,Yes
Presbyopic,Hypermetrope,No,Reduced,No
Presbyopic,Hypermetrope,Yes,Reduced,No
Young,Hypermetrope,No,Normal,No
Prepresbyopic,Hypermetrope,No,Normal,No
Prepresbyopic,Hypermetrope,Yes,Normal,No
Prepresbyopic,Hypermetrope,No,Normal,No
Presbyopic,Myope,No,Normal,No
Presbyopic,Myope,No,Normal,No
Young,Hypermetrope,Yes,Normal,No
Young,Hypermetrope,Yes,Normal,No
Presbyopic,Myope,Yes,Normal,No
Prepresbyopic,Myope,Yes,Normal,Yes
Young,Myope,No,Normal,Yes
Presbyopic,Myope,Yes,Normal,No
Prepresbyopic,Myope,Yes,Normal,Yes
Presbyopic,Myope,Yes,Normal,No
Prepresbyopic,Hypermetrope,Yes,Reduced,Yes
Young,Hypermetrope,Yes,Normal,No
Young,Myope,No,Normal,Yes
Young,Myope,No,Normal,Yes
Prepresbyopic,Myope,No,Normal,Yes
Presbyopic,Hypermetrope,Yes,Normal,No
Presbyopic,Hypermetrope,No,Reduced,No
Young,Myope,No,Reduced,No
Prepresbyopic,Hypermetrope,Yes,Normal,No
Prepresbyopic,Myope,No,Normal,Yes
Presbyopic,Hypermetrope,Yes,Normal,No
Young,Hypermetrope,Yes,Normal,No
Presbyopic,Hypermetrope,No,Reduced,No
Young,Myope,Yes,Normal,No
Presbyopic,Myope,Yes,Reduced,No
Young,Hypermetrope,No,Normal,No
Presbyopic,Myope,No,Normal,No
Young,Hypermetrope,Yes,Normal,No
Prepresbyopic,Myope,No,Reduced,No
Prepresbyopic,Myope,No,Normal,Yes
Prepresbyopic,Hypermetrope,No,Normal,No
Presbyopic,Myope,Yes,Reduced,No
Young,Myope,No,Reduced,No
Presbyopic,Myope,Yes,Normal,No
Young,Myope,No,Normal,Yes
Young,Myope,No,Normal,Yes
Young,Hypermetrope,Yes,Normal,No
Prepresbyopic,Myope,No,Normal,Yes
Young,Hypermetrope,Yes,Normal,No
Young,Myope,No,Normal,Yes
Presbyopic,Hypermetrope,Yes,Normal,No
Presbyopic,Hypermetrope,Yes,Normal,No
Presbyopic,Hypermetrope,No,Reduced,No
Prepresbyopic,Myope,Yes,Normal,Yes
Young,Myope,No,Reduced,No
Prepresbyopic,Myope,Yes,Normal,Yes
Prepresbyopic,Hypermetrope,No,Normal,No
Prepresbyopic,Myope,No,Normal,Yes
Presbyopic,Myope,No,Reduced,Yes
Young,Hypermetrope,No,Normal,No
Young,Myope,No,Normal,Yes
Prepresbyopic,Myope,No,Normal,Yes
Presbyopic,Hypermetrope,Yes,Normal,No
Prepresbyopic,Hypermetrope,Yes,Reduced,Yes
Prepresbyopic,Myope,Yes,Normal,Yes
Presbyopic,Hypermetrope,No,Reduced,No
Young,Hypermetrope,Yes,Normal,No
Young,Hypermetrope,Yes,Normal,No
Young,Hypermetrope,Yes,Normal,No
Young,Myope,No,Normal,Yes
Young,Hypermetrope,Yes,Normal,No
Young,Myope,No,Normal,Yes
Prepresbyopic,Myope,No,Normal,Yes
Prepresbyopic,Myope,No,Reduced,No
Presbyopic,Myope,No,Normal,No
Prepresbyopic,Myope,Yes,Normal,Yes
Prepresbyopic,Hypermetrope,No,Normal,No
Presbyopic,Hypermetrope,Yes,Normal,No
Young,Myope,No,Normal,Yes
Prepresbyopic,Hypermetrope,Yes,Normal,No
Presbyopic,Myope,Yes,Normal,No
Young,Myope,No,Reduced,No
Presbyopic,Hypermetrope,No,Reduced,No
Presbyopic,Hypermetrope,Yes,Normal,No
Prepresbyopic,Hypermetrope,No,Normal,No
Prepresbyopic,Myope,Yes,Normal,Yes
Presbyopic,Myope,Yes,Normal,No
Prepresbyopic,Myope,No,Reduced,No
Young,Myope,No,Normal,Yes
Prepresbyopic,Hypermetrope,No,Normal,No
Young,Myope,No,Normal,Yes
Presbyopic,Myope,Yes,Normal,No
Young,Hypermetrope,No,Normal,No
Prepresbyopic,Myope,No,Reduced,No
Young,Hypermetrope,No,Normal,No
Presbyopic,Myope,No,Normal,No
Young,Myope,No,Reduced,No
Prepresbyopic,Hypermetrope,Yes,Reduced,Yes
Prepresbyopic,Hypermetrope,Yes,Reduced,Yes
Presbyopic,Myope,No,Normal,No
Presbyopic,Myope,No,Reduced,Yes
Prepresbyopic,Myope,No,Reduced,No
Prepresbyopic,Myope,Yes,Normal,Yes
Presbyopic,Myope,Yes,Reduced,No
Prepresbyopic,Myope,No,Normal,Yes
Presbyopic,Hypermetrope,Yes,Normal,No
Presbyopic,Myope,No,Normal,No
Young,Myope,No,Normal,Yes
Young,Myope,No,Normal,Yes
Prepresbyopic,Hypermetrope,Yes,Reduced,Yes
Presbyopic,Hypermetrope,Yes,Normal,No
Presbyopic,Hypermetrope,Yes,Normal,No
Prepresbyopic,Hypermetrope,No,Normal,No
Young,Myope,No,Reduced,No
Young,Hypermetrope,No,Normal,No
Presbyopic,Myope,Yes,Normal,No
Young,Myope,No,Normal,Yes
Prepresbyopic,Myope,No,Normal,Yes
Presbyopic,Hypermetrope,No,Reduced,No
Prepresbyopic,Myope,No,Reduced,No
Prepresbyopic,Hypermetrope,No,Normal,No
Young,Hypermetrope,No,Normal,No
Young,Hypermetrope,Yes,Normal,No
Prepresbyopic,Myope,No,Normal,Yes
Prepresbyopic,Myope,No,Normal,No
Prepresbyopic,Myope,Yes,Normal,Yes
Presbyopic,Hypermetrope,Yes,Reduced,No
Prepresbyopic,Myope,Yes,Normal,Yes
Presbyopic,Myope,No,Normal,No
Presbyopic,Myope,Yes,Reduced,No
Presbyopic,Myope,No,Normal,No
Presbyopic,Myope,No,Normal,No
Prepresbyopic,Hypermetrope,No,Normal,No
Young,Myope,No,Reduced,No
Prepresbyopic,Myope,No,Reduced,No
Presbyopic,Hypermetrope,Yes,Normal,No
Prepresbyopic,Myope,No,Reduced,No
Young,Hypermetrope,Yes,Normal,Yes
Prepresbyopic,Myope,No,Normal,Yes
Presbyopic,Myope,No,Normal,No
Prepresbyopic,Myope,Yes,Normal,Yes
Prepresbyopic,Hypermetrope,No,Normal,No
Prepresbyopic,Myope,Yes,Normal,Yes
Prepresbyopic,Myope,No,Reduced,No
Prepresbyopic,Myope,Yes,Normal,Yes
Prepresbyopic,Myope,Yes,Normal,Yes
Prepresbyopic,Myope,Yes,Normal,Yes
Young,Myope,No,Reduced,No
Prepresbyopic,Hypermetrope,Yes,Normal,No
Prepresbyopic,Hypermetrope,Yes,Reduced,Yes
Presbyopic,Hypermetrope,Yes,Normal,No
Prepresbyopic,Myope,No,Reduced,No
Young,Hypermetrope,No,Normal,No
Prepresbyopic,Myope,No,Normal,Yes
Prepresbyopic,Myope,Yes,Normal,Yes
Young,Myope,No,Normal,Yes
Young,Myope,No,Reduced,No
Presbyopic,Myope,Yes,Reduced,No
Presbyopic,Hypermetrope,Yes,Normal,No
Prepresbyopic,Myope,No,Normal,Yes
Prepresbyopic,Myope,No,Normal,Yes
Presbyopic,Myope,Yes,Normal,No
Prepresbyopic,Myope,No,Reduced,No
Prepresbyopic,Hypermetrope,Yes,Normal,No
Presbyopic,Hypermetrope,Yes,Reduced,No
Prepresbyopic,Myope,Yes,Normal,Yes
Prepresbyopic,Myope,No,Normal,Yes
Presbyopic,Myope,Yes,Reduced,No
Presbyopic,Myope,Yes,Normal,No
Prepresbyopic,Hypermetrope,No,Normal,No
Young,Hypermetrope,Yes,Normal,No
Presbyopic,Hypermetrope,No,Reduced,No
Presbyopic,Myope,No,Normal,No
Presbyopic,Myope,No,Normal,No
Young,Myope,No,Normal,Yes
Presbyopic,Myope,No,Reduced,Yes
Prepresbyopic,Hypermetrope,Yes,Reduced,Yes
Presbyopic,Hypermetrope,Yes,Normal,No
Presbyopic,Myope,Yes,Reduced,No
Young,Hypermetrope,Yes,Normal,No
Presbyopic,Hypermetrope,No,Reduced,No
Presbyopic,Myope,Yes,Reduced,No
Prepresbyopic,Myope,No,Reduced,No
Prepresbyopic,Myope,No,Normal,Yes
Prepresbyopic,Myope,Yes,Normal,Yes
Young,Hypermetrope,No,Normal,No
Young,Myope,No,Normal,Yes
Prepresbyopic,Myope,Yes,Normal,Yes
Young,Hypermetrope,Yes,Normal,No
Prepresbyopic,Myope,No,Normal,Yes
Prepresbyopic,Myope,No,Reduced,No
Presbyopic,Myope,No,Normal,No
Prepresbyopic,Hypermetrope,Yes,Reduced,Yes
Prepresbyopic,Hypermetrope,No,Normal,No
Young,Myope,No,Normal,Yes
Presbyopic,Hypermetrope,Yes,Normal,No
Young,Hypermetrope,No,Normal,No
Prepresbyopic,Myope,No,Reduced,No
Prepresbyopic,Myope,Yes,Normal,Yes
Presbyopic,Hypermetrope,Yes,Normal,No
Prepresbyopic,Myope,Yes,Normal,Yes
Prepresbyopic,Myope,Yes,Normal,Yes
Prepresbyopic,Hypermetrope,Yes,Reduced,Yes
Prepresbyopic,Myope,No,Normal,Yes
Prepresbyopic,Myope,No,Normal,Yes
Young,Hypermetrope,No,Normal,No
Prepresbyopic,Myope,No,Reduced,No
Prepresbyopic,Hypermetrope,Yes,Reduced,Yes
Presbyopic,Myope,Yes,Normal,No
Prepresbyopic,Myope,No,Normal,Yes
Prepresbyopic,Hypermetrope,Yes,Normal,No
Presbyopic,Myope,Yes,Reduced,No
Young,Myope,No,Reduced,No
Prepresbyopic,Hypermetrope,No,Normal,No
Prepresbyopic,Myope,No,Normal,Yes
Young,Myope,No,Normal,Yes
Prepresbyopic,Hypermetrope,No,Normal,No
Presbyopic,Hypermetrope,Yes,Normal,No
Prepresbyopic,Myope,No,Normal,Yes
Prepresbyopic,Myope,No,Normal,Yes
Prepresbyopic,Hypermetrope,Yes,Reduced,Yes
Presbyopic,Hypermetrope,Yes,Normal,No
Presbyopic,Myope,Yes,Normal,No
Prepresbyopic,Hypermetrope,Yes,Normal,No
Presbyopic,Myope,Yes,Normal,No
Presbyopic,Myope,Yes,Normal,No
Prepresbyopic,Myope,Yes,Normal,Yes
Presbyopic,Myope,No,Normal,No
Young,Hypermetrope,Yes,Normal,No
Young,Hypermetrope,No,Normal,No
Young,Hypermetrope,Yes,Normal,No
Young,Hypermetrope,No,Normal,No
Prepresbyopic,Hypermetrope,Yes,Normal,No
Prepresbyopic,Myope,No,Reduced,No
Presbyopic,Myope,Yes,Normal,No
Prepresbyopic,Myope,Yes,Normal,Yes
Presbyopic,Myope,Yes,Reduced,No
Presbyopic,Hypermetrope,Yes,Normal,No
Prepresbyopic,Myope,No,Normal,Yes
Prepresbyopic,Myope,Yes,Normal,Yes
Young,Myope,No,Normal,Yes
Prepresbyopic,Myope,Yes,Normal,Yes
Prepresbyopic,Hypermetrope,No,Normal,No
Prepresbyopic,Myope,No,Normal,Yes
Prepresbyopic,Hypermetrope,Yes,Normal,No
Presbyopic,Myope,Yes,Normal,No
Young,Myope,No,Normal,Yes
Prepresbyopic,Hypermetrope,No,Normal,No
Young,Myope,No,Reduced,No
Presbyopic,Myope,Yes,Normal,No
Prepresbyopic,Hypermetrope,Yes,Reduced,Yes
Presbyopic,Hypermetrope,No,Reduced,No
Presbyopic,Myope,Yes,Normal,No
Prepresbyopic,Myope,Yes,Normal,Yes
Prepresbyopic,Myope,No,Reduced,No
Young,Myope,No,Reduced,No
Prepresbyopic,Myope,No,Normal,Yes
Prepresbyopic,Hypermetrope,Yes,Reduced,Yes
Prepresbyopic,Myope,No,Normal,Yes
Presbyopic,Myope,Yes,Normal,No
Young,Hypermetrope,Yes,Normal,No
Prepresbyopic,Hypermetrope,Yes,Normal,No
Prepresbyopic,Myope,No,Normal,Yes
Young,Myope,Yes,Normal,No
Young,Hypermetrope,Yes,Normal,Yes
Prepresbyopic,Myope,No,Normal,Yes
Young,Myope,No,Reduced,No
Prepresbyopic,Myope,No,Normal,Yes
Prepresbyopic,Myope,Yes,Normal,Yes
Young,Myope,No,Normal,Yes
Young,Hypermetrope,No,Normal,Yes
Presbyopic,Myope,Yes,Normal,No
Prepresbyopic,Myope,Yes,Normal,Yes
Presbyopic,Hypermetrope,Yes,Normal,No
Young,Myope,No,Normal,Yes
Prepresbyopic,Myope,No,Normal,Yes
Prepresbyopic,Hypermetrope,Yes,Reduced,Yes
Prepresbyopic,Hypermetrope,Yes,Normal,No
Young,Myope,No,Normal,Yes
Presbyopic,Myope,Yes,Normal,No
Presbyopic,Myope,Yes,Normal,No
Young,Myope,No,Normal,Yes
Presbyopic,Hypermetrope,Yes,Normal,No
Prepresbyopic,Myope,No,Normal,Yes
Prepresbyopic,Myope,Yes,Normal,Yes
Prepresbyopic,Myope,Yes,Normal,Yes
Prepresbyopic,Hypermetrope,Yes,Normal,No
Prepresbyopic,Myope,No,Reduced,No
Young,Myope,No,Normal,Yes
Prepresbyopic,Myope,No,Reduced,No
Prepresbyopic,Myope,No,Normal,No
Prepresbyopic,Hypermetrope,Yes,Reduced,Yes
Prepresbyopic,Myope,Yes,Normal,Yes
Prepresbyopic,Myope,No,Reduced,No
Prepresbyopic,Myope,Yes,Normal,Yes
Prepresbyopic,Hypermetrope,Yes,Reduced,Yes
Prepresbyopic,Myope,No,Reduced,No
Young,Myope,No,Reduced,No
Young,Hypermetrope,No,Normal,Yes
