Day,Outlook,Temperature,Humidity,Wind,PlayTennis
0001,Overcast,Cool,Normal,Strong,Yes
0002,Rain,Mild,High,Weak,Yes
0003,Overcast,Hot,Normal,Weak,Yes
0004,Sunny,Mild,Normal,Strong,Yes
0005,Sunny,Mild,High,Weak,No
0006,Overcast,Hot,Normal,Weak,Yes
0007,Rain,Cool,Normal,Weak,Yes
0008,Overcast,Cool,Normal,Strong,Yes
0009,Rain,Mild,Normal,Weak,Yes
0010,Overcast,Hot,High,Weak,Yes
0011,Overcast,Cool,Normal,Strong,Yes
0012,Sunny,Mild,Normal,Strong,Yes
0013,Sunny,Mild,Normal,Strong,Yes
0014,Sunny,Mild,High,Weak,No
0015,Rain,Cool,Normal,Weak,Yes
0016,Rain,Mild,High,Weak,Yes
0017,Sunny,Mild,High,Weak,No
0018,Sunny,Mild,High,Weak,No
0019,Overcast,Hot,High,Weak,Yes
0020,Rain,Cool,Normal,Strong,No
0021,Rain,Cool,Normal,Weak,Yes
0022,Sunny,Hot,High,Strong,No
0023,Sunny,Mild,High,Weak,No
0024,Overcast,Mild,High,Strong,Yes
0025,Rain,Mild,High,Strong,No
0026,Rain,Cool,Normal,Strong,No
0027,Sunny,Hot,High,Strong,No
0028,Overcast,Mild,High,Strong,Yes
0029,Rain,Cool,Normal,Weak,Yes
0030,Sunny,Hot,High,Weak,No
0031,Overcast,Mild,High,Strong,Yes
0032,Rain,Mild,Normal,Weak,Yes
0033,Rain,Cool,Normal,Strong,No
0034,Overcast,Hot,Normal,Weak,Yes
0035,Overcast,Mild,High,Strong,Yes
0036,Sunny,Cool,Normal,Weak,Yes
0037,Sunny,Hot,High,Weak,No
0038,Sunny,Mild,Normal,Strong,Yes
0039,Sunny,Mild,Normal,Strong,Yes
0040,Rain,Mild,Normal,Weak,Yes
0041,Overcast,Mild,High,Strong,Yes
0042,Overcast,Mild,High,Strong,Yes
0043,Rain,Mild,High,Strong,No
0044,Rain,Mild,High,Strong,No
0045,Rain,Mild,High,Strong,No
0046,Overcast,Hot,High,Weak,Yes
0047,Overcast,Mild,High,Strong,Yes
0048,Overcast,Cool,Normal,Strong,Yes
0049,Rain,Mild,High,Weak,Yes
0050,Sunny,Cool,Normal,Weak,Yes
0051,Overcast,Hot,High,Weak,Yes
0052,Rain,Cool,Normal,Weak,Yes
0053,Overcast,Hot,High,Weak,Yes
0054,Overcast,Cool,Normal,Strong,Yes
0055,Rain,Cool,Normal,Weak,Yes
0056,Sunny,Cool,Normal,Weak,Yes
0057,Overcast,Cool,Normal,Strong,Yes
